,Unnamed: 0,DATA SCIENCE,SOFTWARE DEV,NETWORKS,DATABASES,CLOUD DEV,WEB DESIGN,AUTOMATIONS,SECURITY/CYBERSECURITY,INFORMATION TECH,DEBUGGER
0,JAVA,14,82,1,3,10,49,10,21,6,8
1,JAVASCRIPT,6,56,0,2,4,45,6,14,4,4
2,C++,0,25,2,2,1,3,5,8,1,3
3,.NET,3,28,2,2,2,4,2,0,2,2
4,PYTHON,41,48,2,2,20,8,9,31,2,8
5,SHELL,7,8,3,3,8,1,5,19,4,2
6,RUBY,1,17,0,2,6,10,2,16,0,2
7,PERL,2,7,1,2,4,1,2,14,6,1
8,SQL,69,71,2,18,17,13,9,6,8,8
9,MYSQL,7,17,0,9,3,1,1,1,0,3
10,AWS,35,66,6,6,36,20,6,84,10,13
11,PUPPET,1,1,1,1,7,1,2,9,0,2
12,C#,2,34,0,2,2,5,2,8,2,4
13,HTML,4,33,1,0,3,45,3,1,2,1
14,CSS,1,34,2,0,3,44,2,4,2,0
15,PHP,0,15,1,0,3,3,1,4,0,1
16,NODE,1,32,2,1,3,15,3,6,0,3
17,SWIFT,1,3,0,0,0,2,3,0,0,0
18,R,124,173,58,21,55,104,33,187,79,49
19,TYPESCRIPT,0,20,0,0,1,8,0,0,0,1
20,MATLAB,0,0,0,0,0,0,0,0,0,0
21,SAS,15,13,3,4,5,12,0,16,8,1
